sample.ID,date,day,day.number,sample.type,water.type,location,specific,source.ID,captive.wild,dead,age,clutch,mass,CL,CW,PL,PW,H,days.since.previous,mass.diff,CL.diff,CW.diff,PL.diff,PW.diff,H.diff,mass.diff.per.day,CL.diff.per.day,CW.diff.per.day,PL.diff.per.day,PW.diff.per.day,H.diff.per.day,mass.mean.diff.per.day,CL.mean.diff.per.day,CW.mean.diff.per.day,PL.mean.diff.per.day,PW.mean.diff.per.day,H.mean.diff.per.day,days.since.last.measure,shannon,simpson,rich,even,rich.rare.1000,rich.rare.10000,read.depth,date.sc,BCI,year,location.general,type.location.water.type,type.location.gen.water.type,read.depth.sc,specific.wild,specific.year
W09,2018-11-09,Friday,C1,water,tap,Cosley,tap,Cosley Tap (with date),captive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.015372354,0.768054438,26,0.618573554,24.94369195,25.85684937,17358,-1.072322829,NA,2018,Cosley,water Cosley tap,water Cosley tap,-1.246185226,tap,tap
W12,2018-11-15,Thursday,C7,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.491329457,0.963357646,348,0.767459682,303.7876246,342.9289867,27119,-1.03751642,NA,2018,Cosley,water Cosley tub,water Cosley tub,-0.053943749,tub7,tub7
W13,2018-11-15,Thursday,C7,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.874036849,0.981128373,388,0.817653495,338.8692793,380.5078207,30353,-1.03751642,NA,2018,Cosley,water Cosley tub,water Cosley tub,0.341067924,tub11,tub11
W14,2019-01-04,Friday,C1,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.410687137,0.948762888,399,0.736469453,327.513669,386.3487775,38590,-0.747463017,NA,2019,Cosley,water Cosley tub,water Cosley tub,1.347162899,tub7,tub7
W15,2019-01-04,Friday,C1,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.785391898,0.975502268,394,0.800721372,337.4664982,385.9953214,28287,-0.747463017,NA,2019,Cosley,water Cosley tub,water Cosley tub,0.088719712,tub11,tub11
W16,2019-01-04,Friday,C1,water,tap,Cosley,tap,Cosley Tap (with date),captive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.954195456,0.721542372,27,0.592928453,25.28949965,26.35108011,25045,-0.747463017,NA,2019,Cosley,water Cosley tap,water Cosley tap,-0.307269107,tap,tap
W17,2019-01-10,Thursday,C7,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.277996222,0.956941981,354,0.728877119,296.5559734,344.5118234,30462,-0.712656608,NA,2019,Cosley,water Cosley tub,water Cosley tub,0.354381552,tub7,tub7
W18,2019-01-10,Thursday,C7,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.303748316,0.951882651,347,0.735768397,299.7087201,341.7875097,26048,-0.712656608,NA,2019,Cosley,water Cosley tub,water Cosley tub,-0.184759303,tub11,tub11
W20,2019-03-01,Friday,C1,water,tub,Cosley,tub7,Cosley Tub 7 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.791216458,0.980509414,302,0.839029453,286.1088045,301.7527744,13980,-0.422603205,NA,2019,Cosley,water Cosley tub,water Cosley tub,-1.658785545,tub7,tub7
W21,2019-03-01,Friday,C1,water,tub,Cosley,tub11,Cosley Tub 11 (with date),captive,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.992577237,0.98369596,417,0.827532883,360.4023578,409.0620857,26947,-0.422603205,NA,2019,Cosley,water Cosley tub,water Cosley tub,-0.074952409,tub11,tub11
